Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2007-10-05,52.250919342041016,56.87351663992491,43.18751360629079,46.641477290123404,855215656
2007-10-08,49.576053619384766,54.016862537626224,49.26441654631749,54.016862537626224,126671715
2007-10-09,52.95210647583008,53.41955856155875,46.92714891334015,49.60202027946315,116725709
2007-10-10,53.44552993774414,54.536256188672056,52.97807784297945,54.3284969624984,67931378
2007-10-11,59.41854476928711,62.32714565110846,52.97807591685675,62.32714565110846,106320954
2007-10-12,59.02899932861328,61.23641853894796,57.65260993581821,58.172002691191075,99410791
2007-10-15,59.80809020996094,60.61315323115125,59.288697439405375,60.249575473876234,41814972
2007-10-16,65.91094970703125,66.949742205277,59.470481304081716,59.88599266760825,138614496
2007-10-17,71.05294799804688,72.71500060587947,55.10758390026759,59.2107888242532,204876259
2007-10-18,68.55986022949219,77.62326694998494,65.6252924665311,72.1956096460106,146617799
2007-10-19,68.32613372802734,71.10488631487198,64.9241070310571,67.00167800518918,110266491
2007-10-22,67.41719055175781,69.52072816186728,65.1837977223664,66.9497385322573,72253405
2007-10-23,72.2215805053711,72.87082144558245,69.07925012791905,69.07925012791905,74594921
2007-10-24,71.10489654541016,74.53289055488919,70.29983345027293,73.75379428277871,63055170
2007-10-25,70.94906616210938,72.61112580374328,62.664748863355165,68.68970625838412,34522489
2007-10-26,73.07857513427734,74.2472087946232,70.24788189466473,72.19560466190785,62370025
2007-10-29,74.55885314941406,76.35076108868225,73.90961216340611,74.27318993345679,43657697
2007-10-30,76.22090148925781,78.27249847130612,73.33826771577914,75.57166060037268,79921711
2007-10-31,77.80504608154297,79.51904624712627,76.3507493150309,76.61044566938766,44655368
2007-11-01,76.06507873535156,80.32410174435992,75.44181171469887,79.72680154113318,50632492
2007-11-02,77.44147491455078,77.90893402768407,72.71499945673308,73.31230675802226,32001693
2007-11-05,79.025634765625,80.76560206602664,76.92208968494275,77.38954884379375,38833135
2007-11-06,80.06441497802734,85.1284944701781,78.97368875539027,80.402018868561,81880281
2007-11-07,78.89578247070312,82.68734692103388,77.12984843965475,81.54468703963336,33593141
2007-11-08,77.54535675048828,79.64890163812531,75.83136347438267,76.87014898589277,27990521
2007-11-12,79.41516876220703,80.81753196204139,73.1564820900157,75.20808620741879,35153735
2007-11-13,81.31095123291016,82.94703694429585,78.1945948132365,80.7655916773532,43830531
2007-11-14,80.2461929321289,83.88194181618005,79.83067454712304,82.73927506330682,36738579
2007-11-15,81.59662628173828,83.0249563917401,80.06441480039568,81.7524412940342,29242252
2007-11-16,81.0252914428711,82.86913291726692,80.09038025094132,81.23304713728376,18895294
2007-11-19,83.95986938476562,86.99831880180304,82.24587589039375,82.86914304983988,40716718
2007-11-20,82.661376953125,85.95952236707782,81.64855825968476,83.62225496195276,26342171
2007-11-21,76.22090148925781,83.6482144402179,74.37705313799535,83.15479559149391,26814499
2007-11-22,73.59796905517578,78.4802665059787,70.40370507449748,75.41584366715539,34096185
2007-11-23,78.48027038574219,78.94772247156013,74.06542477939514,78.42832969960345,27664090
2007-11-26,79.10353088378906,81.38885748073669,78.48026383628412,81.38885748073669,20159123
2007-11-27,77.15581512451172,80.45396065821008,76.35075914029224,80.45396065821008,20573198
2007-11-28,76.01314544677734,79.20741653647964,75.49375269004072,78.84383878887796,16435311
2007-11-29,73.9615478515625,78.32444557366883,73.00066984828123,77.90893418859778,25530967
2007-11-30,76.81820678710938,77.28565884913134,74.27318374302095,75.31196923405419,18437721
2007-12-03,77.90894317626953,78.86982129039887,77.15582077864266,77.75312110535575,16851227
2007-12-04,76.8961181640625,79.07757062302105,76.32478470626714,78.42832965841616,14008727
2007-12-05,79.96052551269531,80.24619573324253,76.870143080206,77.02595807707571,27725290
2007-12-06,78.48027038574219,82.9210757680856,77.46745166254054,81.70050134504436,24104710
2007-12-07,78.14266967773438,80.09039282754533,76.74031323670025,78.97369963059697,11742386
2007-12-10,78.22057342529297,79.18144441058368,77.20775470952971,78.89578120599161,8330010
2007-12-11,77.85699462890625,79.3632322274398,77.46745005800713,78.92174697147776,11685950
2007-12-12,77.80504608154297,78.50622764724912,76.3507493150309,76.87014202374442,16342131
2007-12-13,76.50658416748047,78.94773334993403,76.2209209214283,77.90894766288423,14620172
2007-12-14,75.7534408569336,76.94804829476456,75.36389633160674,76.24686674023334,10991851
2007-12-17,71.18279266357422,76.61044956339703,70.11803332976248,76.19493114847727,19355678
2007-12-18,70.87116241455078,73.23439676821395,68.66374307848817,70.37773645095646,21607783
2007-12-19,69.57267761230469,73.77976040766359,68.97537734292943,73.15648627327145,19526912
2007-12-20,68.87149047851562,71.05294273016169,68.55985343617839,70.48160932666252,17105204
2007-12-24,70.97504425048828,72.09173733645451,69.33895133147657,69.9102848075826,16711519
2007-12-26,73.13052368164062,74.01349424896684,71.36458959170383,71.36458959170383,20930094
2007-12-27,73.64990997314453,75.67554028113985,73.02663585773904,74.63675478527404,44565277
2007-12-28,74.22124481201172,74.53288187562295,72.71500017867665,73.49408931534714,18354518
2007-12-31,74.76660919189453,75.2080944733065,73.85767180739985,74.79258305828088,11982308
2008-01-01,76.14299774169922,76.84417941004538,74.45497119128444,75.1561528596306,16687746
2008-01-02,75.72748565673828,76.71433053000993,74.61079258843837,76.14299706294251,13437280
2008-01-03,78.84383392333984,79.15547096709338,74.3510882637633,75.26002553196089,31815218
2008-01-04,78.42833709716797,81.02530120190373,77.90894427622082,79.98651556000944,28011310
2008-01-07,77.77908325195312,79.57098396206206,76.94805346645929,77.93489825467049,15858063
2008-01-08,75.13018035888672,78.94771844710785,74.22124305429668,77.85699227265681,13282666
2008-01-09,73.93557739257812,75.54569641214314,73.75378851146804,75.20809251563324,13113527
2008-01-10,72.16963958740234,76.35075545564695,71.67621365655424,74.27318445370132,18023003
2008-01-11,73.26036834716797,73.96154999391128,70.37773425382663,73.15648697553367,11629440
2008-01-14,74.37705993652344,75.15614907439921,72.2215813973435,73.39021510415716,10264240
2008-01-15,72.11770629882812,75.88330412600341,71.52040598346072,75.57167407952703,11558334
2008-01-16,70.6374282836914,72.19560653797659,68.84552751809248,71.59830628277695,14834065
2008-01-17,72.53321838378906,74.14333734261837,69.3908879708916,70.89712556022928,16169395
2008-01-18,69.15716552734375,72.01382569941867,68.55985821922869,71.9359111498627,13254156
2008-01-21,57.392913818359375,68.55985810950848,49.99156349837973,68.55985810950848,33202389
2008-01-22,51.627655029296875,54.53625600718696,41.00606985695249,51.73153288085915,58755707
2008-01-23,57.392913818359375,59.60033303870281,52.45868261994466,52.45868261994466,28425991
2008-01-24,57.522762298583984,61.59999687630224,54.795950306727946,60.483303850485186,29911930
2008-01-25,60.483299255371094,60.768962433976704,58.042150649285475,60.24956971308313,12550722
2008-01-28,61.132545471191406,61.59999755169175,54.795950907517096,59.652274679010944,13601109
2008-01-29,60.11972427368164,62.171328432628485,59.21078697068,61.28835794896948,7679877
2008-01-30,56.79561233520508,60.50926906419851,56.0424900348005,60.249572690916246,9016102
2008-01-31,53.08195495605469,57.54873422714474,52.45868433092432,57.39291569027273,41538563
2008-02-01,54.92579650878906,55.31534106495473,53.49746646951495,53.99088886951997,9089201
2008-02-04,57.756492614746094,58.431703957695376,55.96458816325757,55.96458816325757,12009385
2008-02-05,59.54838943481445,60.327478533213856,56.61382190645298,57.860363054949076,14593303
2008-02-06,59.02899932861328,59.73018095730967,55.73085744541012,57.912306313504644,12429218
2008-02-07,56.2502555847168,60.223612657039425,55.88668132562818,58.22394894851517,11300078
2008-02-08,54.79594802856445,57.08127467016359,53.78312937009734,56.613822614222954,13514197
